,prefCode,cityCode,cityName,cityAlphabet,latitude,longitude,bigCityFlag
79,1,01407,余市郡仁木町,Yoichi-gun Niki-cho,43.159163,140.744937,0
80,1,01408,余市郡余市町,Yoichi-gun Yoichi-cho,43.193712,140.780153,0
81,1,01409,余市郡赤井川村,Yoichi-gun Akaigawa-mura,43.083901,140.815138,0
82,1,01423,空知郡南幌町,Sorachi-gun Namporo-cho,43.026435,141.599152,0
83,1,01424,空知郡奈井江町,Sorachi-gun Naie-cho,43.401282,141.846536,0
84,1,01425,空知郡上砂川町,Sorachi-gun Kamisunagawa-cho,43.476835,141.963731,0
85,1,01427,夕張郡由仁町,Yubari-gun Yuni-cho,42.988172,141.829618,0
86,1,01428,夕張郡長沼町,Yubari-gun Naganuma-cho,43.012112,141.684085,0
87,1,01429,夕張郡栗山町,Yubari-gun Kuriyama-cho,43.035741,141.82024,0
88,1,01430,樺戸郡月形町,Kabato-gun Tsukigata-cho,43.33741,141.6523,0
89,1,01431,樺戸郡浦臼町,Kabato-gun Urausu-cho,43.428969,141.804599,0
90,1,01432,樺戸郡新十津川町,Kabato-gun Shintotsukawa-cho,43.589469,141.784596,0
91,1,01433,雨竜郡妹背牛町,Uryu-gun Moseushi-cho,43.740122,141.967821,0
92,1,01434,雨竜郡秩父別町,Uryu-gun Chippubetsu-cho,43.76061,141.948756,0
93,1,01436,雨竜郡雨竜町,Uryu-gun Uryu-cho,43.651347,141.885971,0
94,1,01437,雨竜郡北竜町,Uryu-gun Hokuryu-cho,43.742746,141.885784,0
95,1,01438,雨竜郡沼田町,Uryu-gun Numata-cho,43.932879,141.918184,0
96,1,01452,上川郡鷹栖町,Kamikawa-gun Takasu-cho,43.810347,142.312494,0
97,1,01453,上川郡東神楽町,Kamikawa-gun Higashikagura-cho,43.702455,142.437248,0
98,1,01454,上川郡当麻町,Kamikawa-gun Toma-cho,43.829383,142.503693,0
99,1,01455,上川郡比布町,Kamikawa-gun Pippu-cho,43.879699,142.500214,0
100,1,01456,上川郡愛別町,Kamikawa-gun Aibetsu-cho,43.868179,142.679584,0
101,1,01457,上川郡上川町,Kamikawa-gun Kamikawa-cho,43.711342,142.827264,0
102,1,01458,上川郡東川町,Kamikawa-gun Higashikawa-cho,43.705566,142.542119,0
103,1,01459,上川郡美瑛町,Kamikawa-gun Biei-cho,43.61762,142.522021,0
104,1,01460,空知郡上富良野町,Sorachi-gun Kamifurano-cho,43.456121,142.475635,0
105,1,01461,空知郡中富良野町,Sorachi-gun Nakafurano-cho,43.397381,142.414601,0
106,1,01462,空知郡南富良野町,Sorachi-gun Minamifurano-cho,43.158206,142.583269,0
107,1,01463,勇払郡占冠村,Yufutsu-gun Shimukappu-mura,43.012557,142.676427,0
108,1,01464,上川郡和寒町,Kamikawa-gun Wassamu-cho,43.994598,142.451264,0
109,1,01465,上川郡剣淵町,Kamikawa-gun Kembuchi-cho,44.110272,142.345097,0
110,1,01468,上川郡下川町,Kamikawa-gun Shimokawa-cho,44.304509,142.641838,0
111,1,01469,中川郡美深町,Nakagawa-gun Bifuka-cho,44.496039,142.299988,0
112,1,01470,中川郡音威子府村,Nakagawa-gun Otoineppu-mura,44.729262,142.260329,0
113,1,01471,中川郡中川町,Nakagawa-gun Nakagawa-cho,44.588796,142.117871,0
114,1,01472,雨竜郡幌加内町,Uryu-gun Horokanai-cho,44.00579,142.165856,0
115,1,01481,増毛郡増毛町,Mashike-gun Mashike-cho,43.871273,141.630987,0
116,1,01482,留萌郡小平町,Rumoi-gun Obira-cho,44.000511,141.666528,0
117,1,01483,苫前郡苫前町,Tomamae-gun Tomamae-cho,44.300379,141.676764,0
118,1,01484,苫前郡羽幌町,Tomamae-gun Haboro-cho,44.36569,141.854673,0
119,1,01485,苫前郡初山別村,Tomamae-gun Shosambetsu-mura,44.553319,141.80398,0
120,1,01486,天塩郡遠別町,Teshio-gun Embetsu-cho,44.659457,141.855077,0
121,1,01487,天塩郡天塩町,Teshio-gun Teshio-cho,44.93981,141.822185,0
122,1,01511,宗谷郡猿払村,Soya-gun Sarufutsu-mura,45.212723,142.221329,0
123,1,01512,枝幸郡浜頓別町,Esashi-gun Hamatombetsu-cho,45.060567,142.374026,0
124,1,01513,枝幸郡中頓別町,Esashi-gun Nakatombetsu-cho,44.808344,142.299488,0
125,1,01514,枝幸郡枝幸町,Esashi-gun Esashi-cho,44.937051,142.51172,0
126,1,01516,天塩郡豊富町,Teshio-gun Toyotomi-cho,45.191458,141.746593,0
127,1,01517,礼文郡礼文町,Rebun-gun Rebun-cho,45.334026,141.031708,0
128,1,01518,利尻郡利尻町,Rishiri-gun Rishiri-cho,45.187521,141.148816,0
129,1,01519,利尻郡利尻富士町,Rishiri-gun Rishirifuji-cho,45.222094,141.219863,0
130,1,01520,天塩郡幌延町,Teshio-gun Horonobe-cho,45.015721,141.845028,0
131,1,01543,網走郡美幌町,Abashiri-gun Bihoro-cho,43.816714,144.111014,0
132,1,01544,網走郡津別町,Abashiri-gun Tsubetsu-cho,43.707604,144.020358,0
133,1,01545,斜里郡斜里町,Shari-gun Shari-cho,43.903122,144.660449,0
134,1,01546,斜里郡清里町,Shari-gun Kiyosato-cho,43.73335,144.508278,0
135,1,01547,斜里郡小清水町,Shari-gun Koshimizu-cho,43.875959,144.530914,0
136,1,01549,常呂郡訓子府町,Tokoro-gun Kunneppu-cho,43.705849,143.782392,0
137,1,01550,常呂郡置戸町,Tokoro-gun Oketo-cho,43.728017,143.603451,0
138,1,01552,常呂郡佐呂間町,Tokoro-gun Saroma-cho,43.976479,143.758265,0
139,1,01555,紋別郡遠軽町,Mombetsu-gun Engaru-cho,44.071873,143.535785,0
140,1,01559,紋別郡湧別町,Mombetsu-gun Yubetsu-cho,44.228466,143.619525,0
141,1,01560,紋別郡滝上町,Mombetsu-gun Takinoe-cho,44.192729,143.085977,0
142,1,01561,紋別郡興部町,Mombetsu-gun Okoppe-cho,44.445705,143.133474,0
143,1,01562,紋別郡西興部村,Mombetsu-gun Nishiokoppe-mura,44.383986,142.843144,0
144,1,01563,紋別郡雄武町,Mombetsu-gun Omu-cho,44.536152,142.848802,0
145,1,01564,網走郡大空町,Abashiri-gun Ozora-cho,43.819002,144.318681,0
146,1,01571,虻田郡豊浦町,Abuta-gun Toyora-cho,42.69484,140.648624,0
147,1,01575,有珠郡壮瞥町,Usu-gun Sobetsu-cho,42.553098,141.047071,0
148,1,01578,白老郡白老町,Shiraoi-gun Shiraoi-cho,42.574356,141.277508,0
149,1,01581,勇払郡厚真町,Yufutsu-gun Atsuma-cho,42.732045,141.883506,0
150,1,01584,虻田郡洞爺湖町,Abuta-gun Toyako-cho,42.555599,140.764077,0
151,1,01585,勇払郡安平町,Yufutsu-gun Abira-cho,42.816856,141.82393,0
152,1,01586,勇払郡むかわ町,Yufutsu-gun Mukawa-cho,42.585475,141.927808,0
153,1,01601,沙流郡日高町,Saru-gun Hidaka-cho,42.485537,142.099616,0
154,1,01602,沙流郡平取町,Saru-gun Biratori-cho,42.643478,142.36052,0
155,1,01604,新冠郡新冠町,Niikappu-gun Niikappu-cho,42.403913,142.353819,0
156,1,01607,浦河郡浦河町,Urakawa-gun Urakawa-cho,42.23358,142.734241,0
157,1,01608,様似郡様似町,Samani-gun Samani-cho,42.093779,143.11929,0
158,1,01609,幌泉郡えりも町,Horoizumi-gun Erimo-cho,42.027336,143.208306,0
159,1,01610,日高郡新ひだか町,Hidaka-gun Shinhidaka-cho,42.336349,142.36856,0
160,1,01631,河東郡音更町,Kato-gun Otofuke-cho,43.028931,143.327935,0
161,1,01632,河東郡士幌町,Kato-gun Shihoro-cho,43.126471,143.354112,0
162,1,01633,河東郡上士幌町,Kato-gun Kamishihoro-cho,43.216261,143.341411,0
163,1,01634,河東郡鹿追町,Kato-gun Shikaoi-cho,43.290695,143.047232,0
164,1,01635,上川郡新得町,Kamikawa-gun Shintoku-cho,43.083333,142.834114,0
